,Target Summary,Generated Summary(Longdformer),Generated Summary(BART-decode-mod)
90,based on two small trials there was no significant difference in pain relief in women receiving oral analgesics compared with placebo or no treatment 129 women md 3.51 95 ci 10.03 to 3.01). we consider this evidence to be of a low to moderate quality. in routine clinical practice intracervical injection of local anaesthetic with a vasoconstrictor lignocaine plus adrenaline or prilocaine plus felypressin appears to be the optimum analgesia for treatment. however further high-quality adequately powered trials should be undertaken in order to provide the data necessary to estimate the efficacy of oral analgesics the optimal route of administration and dose of local anaesthetics.,there is insufficient evidence to support the use of local anaesthetic in cervical surgery. there is no evidence that local anaesthesia reduces pain or discomfort in women undergoing cervical biopsy., there is insufficient evidence to support or refute the use of local anaesthetic injection of the cervix for cervical biopsy for cervical intraepithelial neoplasia. the results of this review suggest that local anaesthesia may be effective for reducing pain associated with cervical surgery for cervix. however the results are based on a small number of studies with a small sample size and are insufficient to make any recommendations for practice.
91,some outcomes may be amenable to psychosocial treatments however there is insufficient evidence to recommend practice changes. further research on interventions described in this review is required including attention to timing duration setting and administering discipline(s as well as treatment across care settings. to facilitate future evaluations a core outcome set including patient-reported outcomes such as quality of life and compliance should be established for hip fracture trials.,there is insufficient evidence to support or refute the use of exercise as an intervention for the prevention of hip fracture., there is insufficient evidence to support or refute the use of multiple-component interventions for hip fracture in older people. there is a need for further well-designed and reported trials to assess the effectiveness and safety of these interventions in improving functional outcomes for older people with hip fracture. future research should focus on improving the quality of life of older people who are most likely to benefit from these studies and on improving their ability to perform daily living.
92,available evidence suggests that interventions to increase use of booster seats among children age four to eight years are effective. combining incentives booster seat discount coupons or gift certificates or distribution of free booster seats with education demonstrated marked beneficial outcomes for acquisition and use of booster seats for four to eight year olds. there is some evidence of beneficial effect of legislation on acquisition and use of booster seats but this was mainly from uncontrolled before-and-after studies which did not meet the criteria for inclusion in the meta-analysis.,there is insufficient evidence to support or refute the use of safety restraints in children attending preschool. further research is needed., there is insufficient evidence to support or refute the effectiveness of interventions aimed at reducing adverse effects of intervention aimed at preschool children. there is a need for further high quality trials to evaluate the effectiveness and safety of interventions targeting preschool children with pre-existing adverse effects. such trials should focus on improving the quality of life of preschool children as well as on the cost-effectiveness of interventions aiming at prevention of adverse effects on adverse effects such as adverse effects and adverse events.
93,preliminary studies suggest benefit from blood alkalinisation with nahco3 in op poisoning but there is insufficient evidence to support its routine clinical use. further research is required to determine the method of alkalinisation that will optimise outcomes and the regimen which will produce the target arterial ph of 7.50 range 7.45 to 7.55). this should be followed by a well-designed randomised controlled trial to determine efficacy.,there is insufficient evidence to support or refute the use of sodium bicarbonate in the treatment of op poisoning., there is insufficient evidence to support or refute the routine use of sodium bicarbonate in the treatment of organophosphorous pesticide poisoning. further trials are needed to confirm the efficacy and safety of this intervention in the management of op poisoning. these trials should be conducted in high-income countries with low incidence of adverse events such as adverse effects and adverse effects.
94,there are too few data available to make definitive recommendations. more intensive forms of advance directive appear to show promise but currently practice must be guided by evidence other than that derived from randomised trials. more trials are indicated to determine whether higher intensity interventions such as joint crisis planning have an effect on outcomes of clinical relevance.,there is insufficient evidence to support or refute the use of the mental health act for the treatment of people with mental illness. further research is needed., there is currently insufficient evidence to support or refute the use of advance directives for mental health care in people with serious mental illnesses. we recommend that advance directives be used as an alternative to compulsory readmissions in order to reduce the number of days spent in hospital and reduce the rate of hospital readmissions. we suggest that future research should focus on improving the quality of life of people with severe mental illnesses and on assessing the effects of these interventions on people with schizophrenia.
95,this review demonstrates a significant decrease in the incidence of symptomatic pda following treatment of an asymptomatic pda with indomethacin. there is also a small but statistically significant decrease in the duration of requirement for supplemental oxygen. there are no reported long term outcomes in the included trials and so it is not possible to comment on possible long term effects. further studies are required to determine the long term benefits or harms of closing a pda prior to the onset of symptoms.,there is insufficient evidence to support the use of indomethacin in the treatment of patent ductus arteriosus., prophylactic closure of the patent ductus arteriosus pda reduces the risk of bronchopulmonary dysplasia and death in preterm infants with pda. however there is insufficient evidence to support the use of this intervention in very low birthweight infants with severe obstructive pda who are at high risk of developing pda or pda and there are insufficient data to support its use in extremely low birth weight infants.
96,long acting inhaled beta-agonists have advantages across a wide range of physiological and clinical outcomes for regular treatment.,the is insufficient evidence to support the use of salbutamol as an inhaled corticosteroid for asthma., ra-adrenoceptor agonists are effective in improving lung function and reducing the risk of serious adverse events in patients with mild to moderate asthma. ra2-agonists is effective in reducing the rate of inhaled bronchodilator use in adults with moderate to severe asthma but there is insufficient evidence to support the use of RA2-agonist formsoterol in patients who are allergic to inhaled corticosteroids in monotherapy and to support a reduction in serious adverse effects in adults and children with severe asthma.
97,studies were generally small and very few studies were done in developing countries. there was a lack of studies truly looking at the effect of home based care itself or looking at significant end points death and progression to aids). however the range of interventions and hbc models evaluated can assist in making evidence-based decisions about hiv care and support.,there is insufficient evidence to support the use of home-based care for hiv-infected women., home-based nursing interventions are effective in improving quality of life in hiv-infected patients. there is insufficient evidence to support or refute the effectiveness of this intervention. there are insufficient data to support the use of home based nursing interventions for hiv/aids. future research should focus on improving the quality and quantity of life of hiv patients in areas where hiv is not prevalent.
98,risperidone can be beneficial in some features of autism. however there are limited data available from studies with small sample sizes. in addition there lacks a single standardised outcome measure allowing adequate comparison of studies and long-term followup is also lacking. further research is necessary to determine the efficacy pf risperidone in clinical practice.,there is insufficient evidence to support or refute the use of risperidone for the treatment of autism in children., there is insufficient evidence to support or refute the routine use of risperidone as a treatment for people with autism. there is a need for further well-designed controlled trials to evaluate the effectiveness of risp as a therapeutic treatment for children with autism and other pervasive developmental disorders. such trials should be conducted with adequate follow-up to assess the efficacy and safety of these interventions.
99,we found no conclusive evidence to determine whether ids between cycles of chemotherapy would improve or decrease the survival rates of women with advanced ovarian cancer compared with conventional treatment of primary surgery followed by adjuvant chemotherapy. ids appeared to yield benefit only in women whose primary surgery was not performed by gynaecologic oncologists or was less extensive. data on qol and adverse events were inconclusive.,there is insufficient evidence to support the use of secondary cytoreductive surgery for ovarian cancer., there is insufficient evidence to support or refute the routine use of preoperative surgery for advanced ovarian cancer. however there is a need for further well-designed trials to evaluate the effects of preop surgery on progression-free survival and overall survival in women with advanced ovarian carcinoma. these trials should focus on women with moderate to severe residual disease and on women who are at high risk of complications and/or death.
100,in contrast to the previous version of this review our results suggest that therapeutic ultrasound may be beneficial for patients with osteoarthritis of the knee. because of the low quality of the evidence we are uncertain about the magnitude of the effects on pain relief and function however. therapeutic ultrasound is widely used for its potential benefits on both knee pain and function which may be clinically relevant. appropriately designed trials of adequate power are therefore warranted.,there is evidence that isokinetic exercise may be effective in reducing knee pain in patients with knee osteoarthritis., there is insufficient evidence to support or refute the use of ultrasound for knee osteoarthritis oa. there is a need for further well-designed and reported trials to evaluate the effects of ultrasound on knee range of motion and to determine whether ultrasound is an effective treatment for knee oa with respect to improving functional status and disability in patients with knee oae. the results of this review suggest that ultrasound may be effective in improving knee range and disability but further research is required to determine the optimal treatment for this condition.
101,the results of this review give some support to ciclesonide as an equivalent therapy to other ics at similar nominal doses. the studies assessed low doses of steroids in patients whose asthma required treatment with low doses of steroids. at half the dose of fp and bdp/bud the effects of ciclesonide were more inconsistent the effect on candidiasis may be of importance to people who find this to be problematic. the role of ciclesonide in the management of asthma requires further study especially in paediatric patients. further assessment against fp at a dose ratio of 1:2 is a priority.,there is insufficient evidence to support or refute the use of corticosteroids in the treatment of patients with persistent asthma., ciclesonide and budesonide are both effective in reducing the need for rescue medication in adults and children with mild to moderate asthma. there is insufficient evidence to support the use of these two drugs in adults with asthma. however there are insufficient data to support their use in children with severe asthma. we recommend that future trials should be conducted to determine the optimal dose and duration of use for these two types of ics.
102,for most red flags there is insufficient evidence to provide recommendations regarding their diagnostic accuracy or usefulness for detecting spinal malignancy. the available evidence indicates that in patients with lbp an indication of spinal malignancy should not be based on the results of one single red flag question. further research to evaluate the performance of different combinations of tests is recommended.,there is insufficient evidence from randomised controlled trials to support the use of rcts in the treatment of acute low back pain., there is insufficient evidence to support or refute the use of ics for the treatment of musculoskeletal pain in people aged 50 years or older. we recommend that ics should be used as part of routine clinical practice. we suggest that future trials should focus on patients with a history of neoplastic disorders and on those patients with an existing history of neurological disorders. we also recommend that future studies should include long-term follow-up.
103,there is evidence that tranexamic acid reduces blood transfusion in patients undergoing emergency or urgent surgery. there is a need for a large pragmatic clinical trial to assess the effects of routine use of tranexamic acid on mortality in a heterogeneous group of patients receiving urgent and emergency surgery.,there is insufficient evidence to support or refute the use of tranexamic acid for the treatment of hip fracture., there is insufficient evidence to support or refute the routine use of erythrocyte in the treatment of isolated isolated hip fractures. further trials are needed to determine the optimal dose and duration of eriesthrocytes in isolated hip fracture surgery. these trials should be conducted in high-income countries with low risk of bias and should be powered to detect clinically important adverse effects.
104,there is no evidence that community-based screening of asymptomatic older people results in improvements in vision.,there is insufficient evidence to support or refute the use of screening for people with visual impairment in primary care. there is a need for further research., there is insufficient evidence to support or refute the use of screening programmes for people with visual acuity in primary care. there is evidence that screening programmes are effective in reducing the risk of falling in people aged 75 years or older. however the evidence is based on a small number of studies with low risk of bias and is insufficient to make any recommendations for practice. future research should focus on improving the quality of life of people with vision acuity.
105,community-based interventions and antenatal contraceptive counselling improved uptake of copper iud contraception. since the copper iud is one of the most effective reversible contraceptive methods primary care and family planning and practitioners could consider adopting these interventions. although our review suggests these interventions are clinically effective a cost-benefit analysis may be required to evaluate applicability.,the is insufficient evidence to determine whether individualized contraceptive counseling is effective in improving contraceptive uptake in women in rural areas., there is insufficient evidence to support or refute the use of contraceptive advice for women who have undergone abortion. there is a need for further research to investigate the effectiveness of contraceptive counseling for women with a history of adverse effects. the findings of this review suggest that the use and safety of contraceptive counselling for women using contraceptive methods should be evaluated in future studies.
106,intensive reminders and implementation intention interventions appear promising in enhancing adherence to antiepileptic mediations however we need more reliable evidence on their efficacy from carefully designed randomised controlled trials before a firm conclusion can be reached.,there is insufficient evidence to support or refute the use of motivational interviewing in epilepsy patients. further research is needed to determine the effectiveness and safety of such interventions., there is insufficient evidence to support or refute the use of interventions to improve adherence to treatment in epilepsy. however there is a need for further high quality randomised controlled trials to evaluate the effectiveness of interventions for epilepsy. such trials should be conducted in people with epilepsy with seizure type and frequency and should be of high methodological quality. future trials should focus on outcomes that are clinically relevant to patients with epilepsy such as quality of life and cost-effectiveness.
107,telephone voice interventions may have a role in improving medication adherence reducing risky sexual behaviour and reducing depressive and psychiatric symptoms but current evidence is sparse and further research is needed.,there is insufficient evidence to support the use of telephone-delivered psychotherapy for hiv-positive people in rural areas., there is insufficient evidence to support or refute the use of telephone-delivered interventions for hiv-infected persons in rural areas of the united states. however there is a need for further research to investigate the effectiveness of these interventions in hiv/aids in reducing depressive symptoms and improving quality of life in these populations. future research should focus on improving the quality and quantity of the studies and on identifying the most effective interventions to improve the quality of the trials.
108,treating simple corneal abrasions with a patch does not improve healing rates on the first day post-injury and does not reduce pain. in addition use of patches results in a loss of binocular vision. therefore it is recommended that patches should not be used for simple corneal abrasions. further research should focus on large greater than 10 mm2 abrasions.,there is insufficient evidence to support the use of eye patching in the treatment of corneal abrasions., there is insufficient evidence to support or refute the use of topical antibiotics for corneal abrasion. however there is evidence that topical antibiotics may be effective in treating traumatic corneaal epithelial abrasions. there is no evidence to suggest that topical antibiotic treatment is effective in preventing eye pain. there are no studies investigating the effect of topical antibiotic treatments on corneally abrabrasion and there is a need for further trials.
109,no significant differences were found between triflusal and aspirin for secondary prevention of serious vascular events in patients with stroke or tia and ami. however our review cannot exclude moderate differences in efficacy. triflusal was associated with a lower risk of hemorrhagic complications.,there is no evidence that triflusal reduces the risk of stroke or ischemic infarction in patients with tia., triflusal is effective in the prevention of acute myocardial infarction and is associated with a reduction in vascular events but there is no evidence of a reduction of vascular events. there is a need for revascularization in patients with severe angina. there are insufficient data to draw any conclusions about the effect on vascular events in people with mild ischemic stroke or tia. further trials are required to determine the effect of antplatelet agents on the incidence of major vascular events and to determine whether they are effective in patients who are at high risk of vascular complications.
110,in order to eliminate potential selection bias more rcts need to be conducted in this area so that effectiveness as well as efficacy can be ascertained. the interlock programme appears to be effective while the device is installed in the vehicle of the offender. studies need to address ways of improving recidivism rates in the long term as the major challenges are participation rates compliance and durability.,there is insufficient evidence to support or refute the use of ignition interlocks in the management of impaired driving., there is insufficient evidence to support or refute the use of alcohol interlock restrictions for alcohol-related traffic offences. we recommend that the development of an intervention to reduce alcohol traffic violations should be undertaken in the context of rigorous randomised controlled trials with adequate sample sizes and adequate follow-up. trials should be conducted to determine the optimal intervention and to compare the effectiveness of interventions to prevent alcohol traffic offences in alcohol traffic offenses.
111,one study suggested that topical ketanserin is more effective than clioquinol cream or zinc paste. topical phenytoin two studies may be more effective than saline dressing regarding ulcer healing. for the other dressings the results were equivocal. canvas shoes were a little better than pvc-boots but not significantly and the effect of double rocker shoes compared to below-knee plasters was no different in promoting the healing of ulcers. no side effects were documented. there is a lack of high quality research in the field of ulcer prevention and treatment in leprosy. new trials should follow the current standards for design and reporting of randomised controlled trials.,the is insufficient evidence to support the use of phenytoin in leprosy. there is a need for further trials to evaluate the effectiveness of the combination of the two therapies., topical phenytoin is effective in reducing ulcer volume reduction in leprosy ulcers but there is insufficient evidence to recommend its use as an alternative to normal saline for the treatment of plantar ulcers. there is a need for further well-designed and reported trials to evaluate the effectiveness of topical povidone iodine for the management of simple ulcers in people with severe trophic ulcers and to determine the optimal route of administration for the prevention of severe ulcer infection.
112,there is no evidence to suggest that spinal manipulation is effective in the treatment of dysmenorrhoea. in the one trial reporting on adverse effects there was no greater risk of such events with spinal compared with sham manipulation.,there is insufficient evidence to support or refute the use of spinal manipulation in the treatment of primary dysmenorrhea., there is insufficient evidence to support or refute the use of spinal manipulation for primary dysmenorrhea. there is a need for further well-designed randomised controlled trials with adequate sample sizes to evaluate the effects of spinal manipulative therapy on primary dysmanorrhea and to compare the effects on secondary dysmenorhea with placebo and other non-surgical treatments.
113,a single injection of btb was effective and safe for treating cervical dystonia. long-term uncontrolled studies suggested that further injection cycles continue to work for most patients. future research should explore technical factors such as the optimum treatment intervals and use of image or electromyographic guidance for administration. other issues include service delivery quality of life long-term efficacy and safety and the relative indications for bta btb and other treatments such as deep brain stimulation,there is insufficient evidence to support or refute the use of botulinum toxin type b for cervical dystonia., botulinum toxin type b bont/b is effective in treating cervical dystonia cd. however there is insufficient evidence to recommend its use as an adjuvant for women with idiopathic cervix. further trials are needed to determine its safety and efficacy. note the four citations in the awaiting classification section of the review may alter our conclusions once assessed. future trials should focus on improving the quality of life of women with cd.
114,prior to the current update it appeared there was some evidence that cranberry juice may decrease the number of symptomatic utis over a 12 month period particularly for women with recurrent utis. the addition of 14 further studies suggests that cranberry juice is less effective than previously indicated. although some of small studies demonstrated a small benefit for women with recurrent utis there were no statistically significant differences when the results of a much larger study were included. cranberry products were not significantly different to antibiotics for preventing utis in three small studies. given the large number of dropouts/withdrawals from studies mainly attributed to the acceptability of consuming cranberry products particularly juice over long periods and the evidence that the benefit for preventing uti is small cranberry juice cannot currently be recommended for the prevention of utis. other preparations such as powders need to be quantified using standardised methods to ensure the potency and contain enough of the active ingredient before being evaluated in clinical studies or recommended for use.,there is insufficient evidence to support the use of cranberry juice in the prevention of uti in women., there is insufficient evidence to support the use of cranberry juice as an antibiotic prophylaxis in the prevention of symptomatic utis in people with sci. there is no evidence to suggest that it is associated with a reduction in bacteriuria in patients with sci but there is evidence of a decrease in urinary tract infection in people who are at increased risk of developing urinary tract infections. there are no studies available for other types of antibiotics.
115,we found low-level evidence for the use of teriflunomide as a disease-modifying therapy for ms due to the limited quality of the available rcts. we did not conduct meta-analysis because of the clinical and methodological diversity of the included studies. short-term teriflunomide 7 or 14 mg alone or with add-on ifn-β was safe for patients with relapsing ms. both teriflunomide 7 and 14 mg alone had potential benefits for patients with relapsing forms of ms. we are waiting for the publication of ongoing trials. rcts with high methodological quality and longer periods of observation are needed to assess safety disability progression neuroprotection and quality of life.,there is insufficient evidence from randomised controlled trials to support the use of anticoagulants for the treatment of multiple sclerosis., oral teriflunomide is an effective treatment for relapsing rms in people with rms. however there is insufficient evidence to recommend its use as an add-on treatment for rms because of its adverse effects and adverse effects. further trials are needed to determine the optimal dose and duration of treatment and to assess the efficacy and safety of other add-ons for multiple sclerosis types.
116,continuous monitoring of physiological variables for the first two to three days may improve outcomes and prevent complications. attention to the changes in physiological variables is a key feature of a stroke unit and can most likely be aided by continuous monitoring without complications related to immobility or to treatments triggered by the relief of abnormal physiological variables. well-designed high-quality studies are needed because many questions remain open and deserve further research. these include when to start continuous monitoring when to interrupt it which people should be given priority and which treatments are most appropriate after the identification of abnormalities in physiological variables.,there is insufficient evidence from randomised controlled trials to support the use of cam in the treatment of acute ischemic stroke., there is insufficient evidence to support or refute the use of pre-treatment interventions for acute stroke patients. there is a need for well-designed adequately powered randomised controlled trials with adequate follow-up to assess the effects of pretreatment interventions on stroke outcomes. such trials should be conducted in the context of well designed adequately powered adequately powered placebo-controlled trials.
117,varenicline and behavioural interventions may help st users to quit. behavioural interventions incorporating telephone counselling or an oral examination are likely to increase abstinence rates.,there is insufficient evidence to support or refute the use of nicotine patches for st. there is no evidence that nicotine patches are effective in preventing st., there is insufficient evidence to support the use of smokeless tobacco st users to quit but there is no evidence to suggest that the cessation of st users is associated with a reduction in st use. we are unable to draw any conclusions because of the lack of evidence for other types of tobacco cessation in the studies included in this review. we recommend that future studies should be conducted to determine the best methods of support for st users and to compare the effectiveness of different types of support and methods for reducing st users.
118,dse may perform better than mps but additional studies directly comparing these cardiac screening tests are needed. absence of significant cad may not necessarily correlate with cardiac-event free survival following transplantation. further research should focus on assessing the ability of functional tests to predict postoperative outcome.,there is insufficient evidence to support the use of coronary angiography in patients with end-stage renal disease. further randomised controlled trials are needed., dobutamine stress echocardiography dse and dse are more sensitive than cimt and are associated with increased risk of cardiovascular events in patients with end-stage renal disease. dse may be associated with decreased risk of cardiotoxicity in patients who have normal thallium imaging and decreased risk for cardiovascular events. the risk of stroke is increased with dse but is associated with reduced risk of coronary angiographic and decreased risks of stroke in those patients with normal thickness.
119,the risk of stroke and death did not differ significantly between the two types of anaesthetic technique during carotid endarterectomy. this review provides evidence to support a policy that patients and surgeons can choose either anaesthetic technique depending on the clinical situation and their own preferences.,there is insufficient evidence to support the use of local anaesthesia for carotid endarterectomy. there is no evidence to suggest that general anaesthesia is superior to local anaesthetic in terms of adverse events., there is insufficient evidence to support or refute the use of anaesthesia for carotid endarterectomy under local anaesthesia. there is no evidence to suggest that anaesthesia is superior to general anaesthesia in reducing the risk of myocardial ischemia or stroke in patients with cotid ischemias. there are insufficient data to make any recommendations for practice. future research should focus on improving the quality of life of patients with carotids endartèrectomy.
120,this updated review shows that custom-made foot orthoses are significantly more beneficial than sham orthoses for treating foot pain associated with pes cavus in a variety of clinical populations. we also show that some secondary biomechanical outcomes improve with custom-made foot orthoses and footwear but not with botulinum toxin or off-the-shelf foot orthoses. there is an absence of evidence for any other type of intervention for the treatment or prevention of pes cavus.,there is insufficient evidence to support or refute the use of orthotic foot orthotics for the treatment of cavus., <interventions> botulinum toxin type a bont-a is effective in treating cavus foot pain in people with a cavus type 1a. there is insufficient evidence to support or refute the use of any of the interventions in this type of foot pain. further research is required to determine the optimal treatment for cavus feet.
121,massage might be beneficial for patients with subacute and chronic non-specific low-back pain especially when combined with exercises and education. the evidence suggests that acupuncture massage is more effective than classic massage but this need confirmation. more studies are needed to confirm these conclusions to assess the impact of massage on return-to-work and to determine cost-effectiveness of massage as an intervention for low-back pain.,there is insufficient evidence to support the use of massage therapy in the treatment of chronic low-back pain. there is a need for further research., massage therapy is an effective treatment for low-back pain in people with subacute and sub-acute conditions. there is insufficient evidence to support the use of massage therapy as a treatment for non-specific low-b pain in patients with low-pills. however there is a need for further well-designed trials to investigate the effectiveness of massage therapies for low back pain in low-outcomes.
122,there is weak evidence that the interventions fr-4 with lip-seal training and palatal crib associated with high-pull chincup are able to correct anterior open bite. given that the trials included have potential bias these results must be viewed with caution. recommendations for clinical practice cannot be made based only on the results of these trials. more randomised controlled trials are needed to elucidate the interventions for treating anterior open bite.,there is insufficient evidence to support or refute the use of acrylic posterior bite-blocks in the treatment of skeletal anterior open bite malocclusion., there is insufficient evidence to support or refute the use of any of the interventions reviewed in this review. further trials are needed to confirm the efficacy and safety of various interventions for the treatment of skeletal anterior open bite malocclusion and to evaluate the effectiveness of other interventions such as the fr-4 appliance. future trials should evaluate the efficacy of interventions for this condition and should include long-term follow-up.
123,the overall quality of evidence was moderate. half of these postpartum interventions led to fewer repeat pregnancies or births or more contraceptive use. however the evidence of intervention effectiveness was of low to moderate quality. trials with evidence of effectiveness included two that provided one or two sessions and three that had multiple contacts. the former had limitations such as self-reported outcomes and showing no effect for many comparisons. the interventions with multiple sessions were promising but would have to be adapted for other locations and then retested. researchers and health care providers will have to determine which intervention might be appropriate for their setting and level of resources.,there is insufficient evidence to support or refute the use of postpartum contraceptive education in women with pre-pregnancy pregnancies., there is insufficient evidence to support or refute the use of home-based contraceptives for preventing repeat pregnancy among women in low-income countries. there is a need for high quality trials to investigate the effectiveness of home based contraceptives for prevention of repeat pregnancy in women with prentice and other types of pregnancy. there are insufficient studies to evaluate the effectiveness and cost-effectiveness of homebased contraceptives.
124,prophylactic systemic antibiotics in neonates with a central venous catheter reduces the rate of proven or suspected septicaemia. however this may not be clinically important in the face of no significant difference in overall mortality and the lack of data on long-term neurodevelopmental outcome. furthermore there is a lack of data pertaining to the potentially significant disadvantages of this approach such as the selection of resistant organisms. the routine use of prophylactic antibiotics in infants with central venous catheters in neonatal units cannot currently be recommended.,there is insufficient evidence to support the use of prophylactic amoxicillin in the treatment of infants with central venous silicone elastomer catheters., there is insufficient evidence to support or refute the routine prophylaxis of parenteral nutrition for preterm infants with staphylococcal sepsis. there is a need for adequately powered randomised controlled trials with adequate follow-up to determine the optimal antibiotic regimen for this condition. such trials should be conducted in low birthweight infants with low birth weight infants.
125,in view of methodological deficiencies and limited number of individual studies we have found no reliable evidence to support the routine use of vitamins in patients with epilepsy. further trials are needed especially to assess the utility of vitamin d supplementation to prevent osteomalacia and the role of vitamin e on seizures and thiamine in improving cognitive functions.,there is insufficient evidence to support the use of folate in the treatment of epileptic patients with epilepsy., there is insufficient evidence to support or refute the use of folic acid for the prevention of gingival hyperplasia in people with phenytoin-induced osteomalacia. there is a need for further trials to investigate the efficacy of vitamin e for the developmentally disabled in people who are at high risk of seizures and to determine whether vitamin e is beneficial for this type of epilepsy.
126,compared to no intervention or minimal interventions pamphlets usual care interactive computer-based interventions are an effective intervention for weight loss and weight maintenance. compared to in-person interventions interactive computer-based interventions result in smaller weight losses and lower levels of weight maintenance. the amount of additional weight loss however is relatively small and of brief duration making the clinical significance of these differences unclear.,there is insufficient evidence to support or refute the use of computer-based weight loss interventions for overweight or obese people., weight loss interventions are effective in reducing weight loss in overweight and obesity in people at risk of type 2 diabetes </interventions> there is insufficient evidence to support the use of internet-based weight loss programmes for weight-loss maintenance in people who are at increased risk of diabetes. there are insufficient data to support weight loss programs for weight loss. there is a need for more studies to evaluate the effects of weight loss on weight loss outcomes and to investigate the effects on cardiovascular morbidity.
127,aldosterone antagonists contribute to reduction of proteinuria in patients with ckd who are already on acei and arb but increase the risk of hyperkalaemia. available studies are small and have short follow-up. long-term effects on renal outcomes mortality and safety are unknown.,there is insufficient evidence to support or refute the use of spironolactone in patients with diabetic nephropathy. further trials are needed., usep> spironolactone and angiotensin-converting enzyme antagonists are effective in reducing albuminuria and reducing blood pressure in patients with non-diabetic nephropathy but there is insufficient evidence to support their use in this patient group. there is a need for further well-designed randomised controlled trials to evaluate the effects of these agents on blood pressure and blood pressure.
128,based on this analysis the most prudent prescription for water intake to premature infants would seem to be careful restriction of water intake so that physiological needs are met without allowing significant dehydration. this practice could be expected to decrease the risks of patent ductus arteriosus and necrotizing enterocolitis without significantly increasing the risk of adverse consequences.,there is insufficient evidence to determine whether or not fluid restriction reduces the risk of bronchopulmonary dysplasia in preterm infants., there is insufficient evidence to support or refute the use of fluid restriction in preterm infants with patent ductus arteriosus and congestive heart failure. there is a need for well-designed adequately powered trials to evaluate the effects of fluids restriction on mortality and morbidity in premature infants with prelabour dysplasia. such trials should be conducted in high-volume groups with low and low-volume infants.
129,improvement in control of maternal blood pressure with use of beta-blockers would be worthwhile only if it were reflected in substantive benefits for mother and/or baby and none have been clearly demonstrated. the effect of beta-blockers on perinatal outcome is uncertain the worrying trend to an increase in sga infants is partly dependent on one small outlying trial. large randomised trials are needed to determine whether antihypertensive therapy in general rather than beta-blocker therapy specifically results in greater benefit than risk for treatment of mild-moderate pregnancy hypertension. if so then it would be appropriate to consider which antihypertensive is best and beta-blockers should be evaluated. note the seventeen reports in the awaiting classification section of the review may alter the conclusions of the review once assessed.,there is insufficient evidence to support the use of methyldopa for the prevention of pregnancy induced hypertension in pregnant women., there is insufficient evidence to support the use of antihypertensive drugs during pregnancy to reduce the risk of preterm birth in women with pre-eclampsia and prelabetalol and pindol-hydralazine for women with mild to moderate hypertension during pregnancy. no studies were found to have a significant effect on neonatal outcome in women who were treated with non-pharmacological drugs.
130,in patients with moderate to severe ulcerative colitis whose disease is refractory to conventional treatment using corticosteroids and/or immunosuppressive agents infliximab is effective in inducing clinical remission inducing clinical response promoting mucosal healing and reducing the need for colectomy at least in the short term. serious adverse events attributable to infliximab were not common in the included studies but physicians should be aware of and be prepared to deal with potential adverse events such as anaphylactic reactions and infections.,the is insufficient evidence to determine whether infliximab is effective in treating steroid-refractory ulcerative colitis., infliximab is an effective and safe treatment for ulcerative colitis. however there is insufficient evidence to support its use as an adjunctive treatment for patients with ulceration colitis or to support the use of other anti-tnf alpha therapies. further trials are required to determine the optimal dose and duration of treatment and to evaluate the efficacy and safety of other antifractory agents. these trials should be adequately powered and adequately powered.
131,the evidence from the limited number of studies suggests that psychological and educational interventions may result in increased abstinence from alcohol and a reduction in alcohol consumption among pregnant women. however results were not consistent and the paucity of studies the number of total participants the high risk of bias of some of the studies and the complexity of interventions limits our ability to determine the type of intervention which would be most effective in increasing abstinence from or reducing the consumption of alcohol among pregnant women.,there is insufficient evidence to support or refute the use of motivational interviewing in the management of alcohol use during pregnancy., there is insufficient evidence to support or refute the use of motivational interviewing as an intervention to reduce alcohol consumption in pregnant women. however there is a need for well-designed adequately powered trials with adequate sample sizes to assess the effects of motivational interview on alcohol consumption on pregnancy outcomes. such trials should be conducted in pregnancy women with low risk of antepartum alcohol consumption.
132,the findings of our work indicate that polyethylene glycol is better than lactulose in outcomes of stool frequency per week form of stool relief of abdominal pain and the need for additional products. on subgroup analysis this is seen in both adults and children except for relief of abdominal pain. polyethylene glycol should be used in preference to lactulose in the treatment of chronic constipation.,there is insufficient evidence to determine whether lactulose or polyethylene glycol is effective in relieving constipation in children., polyethylene glycol 3350/electrolyte is more efficacious than lactulose and is associated with fewer adverse events than lactulinose. however the clinical significance of these adverse events is uncertain and further trials are required to determine the optimal combination of these agents for the management of constipation in people with chronic idiopathic constipation. future trials should include adequately powered randomised controlled trials with adequate follow-up to assess the efficacy and safety of different types of hydrolysates for treating constipation and to compare the effects of different hydrolytes.
